2 ,G+: gore,G+: president,B+: bush,G+: american,G+: al,B+: foreign,B+: vice,B+: east,G+: middle,G+: george
7 ,B+: oil,G+: gore,B+: bush,G+: prices,G+: energy,G+: president,G+: administration,B+: vice,G+: reserve,G+: environmental
8 ,G+: gore,G+: nader,G+: vote,B+: bush,G+: al,G+: president,B+: vice,B+: democrats,G+: democratic,G+: ralph
9 ,B+: bush,B+: military,B+: foreign,G+: american,G+: policy,G+: world,G+: united,G+: troops,G+: forces,B+: bushs
13 ,G+: ms,G+: im,B+: bushnell,G+: gephardt,B+: dont,G+: london,B+: war,G+: th,G+: novel,G+: love
14 ,B+: page,G+: front,G+: aug,G+: re,G+: oct,G+: george,B+: bush,G+: al,G+: gore,G+: ready
23 ,G+: gore,B+: bush,G+: al,G+: president,G+: george,G+: republican,G+: party,B+: vice,G+: campaign,B+: vidal
25 ,B+: author,B+: war,B+: sex,B+: city,B+: atlantic,B+: blondes,B+: bush,B+: bushnell,B+: cuomo,B+: candace
36 ,G+: cheney,G+: running,B+: bush,B+: mate,G+: republican,G+: dick,G+: president,G+: george,B+: former,G+: cheneys
38 ,G+: russia,G+: gore,G+: iran,G+: president,B+: chernomyrdin,B+: agreement,B+: russian,B+: congress,G+: al,B+: weapons
39 ,B+: bush,B+: baseball,G+: george,G+: gore,G+: bushwick,G+: al,G+: president,G+: series,G+: brooklyn,G+: sports
