words,227
audience,218
response,130
surrender,11
brilliant,15
wit,9
signal,32
understood,24
references,42
yes,38
laughter,18
vice,2636
president,4307
al,2711
gore,10616
comes,164
stiff,31
george,2758
bush,11520
appears,89
unlikely,35
qualify,17
clinton,1800
strayed,3
marital,7
vows,5
hillary,105
rodham,65
ambitious,37
content,39
change,245
performance,122
recent,400
night,470
barbs,10
nicely,5
acted,19
poked,5
fun,54
rick,48
lazio,153
senate,347
seat,58
rival,117
dont,501
cry,20
giuliani,13
vladimir,8
putin,20
blitz,8
gasoline,23
prices,165
fuel,24
am,154
commencement,4
addresses,28
contestant,3
millionaire,6
sample,6
leader,193
countries,47
administrations,156
policy,695
emerging,12
issue,625
presidential,1303
campaign,3602
gov,1576
texas,1503
word,193
probably,156
describing,33
administration,673
attitude,21
iraq,30
richard,139
perle,7
former,636
assistant,47
defense,304
secretary,312
adviser,283
governor,1398
bushs,2509
subcommittee,11
wednesday,178
appropriate,36
sharply,68
criticized,135
apartheid,5
economy,296
benefiting,11
rich,87
affairs,68
country,395
deserves,25
solutions,20
applies,5
scoffed,15
notion,45
spoiler,3
drawing,52
votes,260
tip,12
election,621
wind,9
passing,32
phenomenon,7
senator,853
bill,610
bradley,182
john,385
mccain,317
nader,516
attracting,12
lot,259
attention,208
news,566
media,228
leftleaning,8
voters,1304
reliably,10
liberal,145
voice,85
leaders,213
organized,39
labor,173
agree,117
stands,87
trade,181
staunch,11
critic,18
north,112
american,667
free,130
agreement,115
world,291
organization,86
depicts,5
evidence,101
corporate,92
globalization,11
worker,39
rights,328
environment,198
support,645
expense,30
analysts,94
believe,274
carry,72
california,221
win,333
november,120
campaigning,166
hard,312
democrats,1116
profess,7
little,455
concerned,87
impact,52
level,130
whom,152
accuses,12
offering,56
intensive,4
demonstrations,5
political,996
history,161
race,539
offers,63
republicrat,3
candidates,686
barely,48
distinction,10
velocity,3
hit,56
floor,61
corporations,34
knock,13
door,25
day,712
los,194
angeles,190
outside,127
public,638
housing,22
project,49
rally,205
naders,72
crowd,201
presidents,362
lose,69
people,1569
voted,137
green,162
party,1028
past,256
perot,49
run,331
ross,31
candidate,691
decided,115
yesterday,309
putting,80
name,215
reform,243
partys,269
primary,163
ballot,43
removing,4
potential,139
roadblock,3
patrick,55
buchanans,17
candidacy,123
spokesman,288
russell,15
running,997
intention,23
actually,146
competing,29
white,586
house,779
republican,1875
contender,16
democratic,1313
series,111
meetings,63
perots,3
office,378
dallas,35
included,109
intense,28
pressure,69
effort,202
stop,133
buchanan,132
seek,54
nomination,137
difficulty,26
appeared,157
half,150
ballots,8
decision,286
forgo,5
leaves,44
spots,45
natural,53
law,265
hagelin,3
promoting,49
danforth,15
missouri,84
frank,59
keating,21
oklahoma,28
mate,585
surfaced,5
internet,82
favorite,97
caveats,4
rumor,3
stride,6
true,139
ari,63
fleischer,92
meet,136
ranch,37
monday,199
dick,348
cheney,1033
heading,25
vicepresidential,180
search,71
update,3
gop,78
philadelphia,202
republicans,1016
talk,310
game,89
arrived,44
convention,1035
late,166
july,142
eager,59
serious,146
differences,193
divide,22
parties,170
youll,23
time,1099
trying,379
figure,87
told,484
union,183
theyre,121
love,105
help,515
speaking,190
gathering,29
federation,14
federal,621
county,69
municipal,7
employees,42
litany,8
issues,796
patients,55
minimum,51
wage,46
gun,227
control,281
questioned,72
commitment,83
hispanics,35
saying,451
urged,44
senators,72
confirm,8
enrique,6
moreno,4
texan,12
nominated,44
judge,59
hearing,38
didnt,164
truth,92
squad,12
home,316
chose,75
city,207
begin,91
national,1109
tour,75
intended,131
governors,302
record,449
consisting,3
teacher,56
prison,33
guard,68
food,52
social,657
debut,10
thursday,221
luncheon,28
presided,21
sweeney,17
aflcio,26
endorsed,80
asserted,80
short,113
speeches,134
terms,133
consistently,21
ranked,18
near,102
bottom,36
providing,53
health,752
insurance,271
children,415
retirement,122
pensions,3
environmental,209
protection,37
pay,295
workers,165
taking,171
special,160
aim,27
claim,86
education,617
reformer,14
diverted,8
money,643
schools,262
tried,200
funds,52
th,98
college,191
board,87
test,106
scores,49
scheduled,95
dozen,43
appearances,68
mixing,6
praise,52
latin,27
culture,49
appeals,53
hispanic,110
values,143
virtues,20
evening,104
approach,179
care,539
unleash,4
promise,114
brave,11
latino,14
nation,208
heart,130
experience,195
honor,66
responsibility,74
faith,91
family,453
caring,14
community,72
keeping,72
america,340
strong,258
speech,723
league,64
united,371
citizens,86
